Chromosome	Position
1	3310
1	11798
1	36040
1	88013
1	100832
1	105946
1	165159
1	180996
1	190917
1	215277
2	21039
2	29068
2	31125
2	48325
2	59270
2	62581
2	64016
2	87012
2	116017
2	140022
2	183106
2	183380
2	189415
2	194002
2	196626
2	197435
2	203274
2	218207
2	233606
2	235466
2	246768
2	247109
2	302652
2	309634
2	339512
2	345385
2	358364
2	368307
2	370353
2	393413
2	421565
2	441318
2	451563
2	472377
2	474017
2	477464
2	495600
2	513986
2	532304
2	573647
2	580733
2	585688
2	592761
2	595078
2	612513
2	619716
2	626591
2	628835
2	629300
2	667151
2	691877
2	698294
2	702108
2	702336
2	711559
2	727972
2	729764
2	736796
2	740322
2	780415
2	785278
2	798508
2	800449
2	802362
2	805332
3	15888
3	29639
3	36419
3	45195
3	68587
3	76522
3	86339
3	136189
3	147240
3	164925
3	167037
3	173449
3	181444
3	196620
3	209361
3	245513
3	256974
3	281633
3	291936
3	296666
4	4608
4	8192
4	17660
4	23336
4	49704
4	55247
4	75850
4	91117
4	97560
4	108403
4	117154
4	118927
4	120650
4	132051
4	145058
4	149472
4	155965
4	164009
4	179972
4	183463
4	199622
4	205346
4	210835
4	211654
4	222278
4	224237
4	224524
4	232188
4	250444
4	258873
4	274997
4	292964
4	309688
4	322072
4	328821
4	328970
4	329463
4	343367
4	388374
4	391344
4	403782
4	405637
4	406221
4	409991
4	414962
4	439172
4	443078
4	464565
4	497181
4	549352
4	553082
4	577392
4	589789
4	603070
4	603314
4	607919
4	633449
4	637436
4	660216
4	667449
4	672041
4	698914
4	703479
4	716261
4	733771
4	737237
4	739022
4	751236
4	754844
4	761521
4	764262
4	778872
4	800619
4	819379
4	828003
4	830404
4	852181
4	911978
4	915567
4	929374
4	945925
4	955781
4	955992
4	959766
4	968227
4	983289
4	1020728
4	1040132
4	1051242
4	1057052
4	1058498
4	1095078
4	1101231
4	1109431
4	1109920
4	1140925
4	1141108
4	1145445
4	1146240
4	1172936
4	1175322
4	1178862
4	1200619
4	1219224
4	1224789
4	1229624
4	1284993
4	1291136
4	1296056
4	1297004
4	1316539
4	1325369
4	1326217
4	1347397
4	1351287
4	1379940
4	1417026
4	1434736
4	1463284
4	1490627
4	1495625
4	1508146
4	1523250
4	1525358
5	25824
5	27385
5	30980
5	44366
5	53361
5	62372
5	89973
5	155487
5	171409
5	212844
5	213027
5	217151
5	218970
5	221384
5	226022
5	228785
5	236806
5	244848
5	255207
5	259287
5	262158
5	281682
5	284516
5	304306
5	335051
5	368954
5	380257
5	403688
5	407811
5	470488
5	473836
5	483644
5	483866
5	494088
5	506688
5	525347
5	528302
5	536638
5	551571
5	564950
6	44112
6	46826
6	52762
6	57434
6	61751
6	81721
6	85286
6	90630
6	99193
6	130980
6	153954
6	188419
6	191234
6	196448
6	212784
7	20169
7	30589
7	43874
7	70997
7	85719
7	90862
7	121343
7	131878
7	132352
7	148084
7	149731
7	151100
7	154118
7	157376
7	159514
7	161892
7	193087
7	199292
7	221578
7	231327
7	232449
7	234762
7	259173
7	269203
7	291234
7	293037
7	296071
7	310128
7	316951
7	324130
7	340960
7	358009
7	371250
7	376462
7	377736
7	380076
7	382979
7	414338
7	415383
7	417472
7	421242
7	441233
7	443948
7	445564
7	448044
7	450616
7	487485
7	497865
7	502801
7	506010
7	539504
7	547676
7	550177
7	575992
7	593489
7	594142
7	611434
7	620875
7	645719
7	659127
7	672098
7	672939
7	674491
7	707216
7	711082
7	712451
7	722011
7	729841
7	739646
7	750716
7	758011
7	766900
7	782878
7	799953
7	800256
7	802047
7	807794
7	828659
7	849271
7	859840
7	869728
7	871451
7	881632
7	905806
7	955902
7	956743
7	964277
7	966752
7	967497
7	972668
7	974041
7	999734
7	1006780
7	1012889
7	1014325
7	1014663
7	1038753
7	1042449
7	1042643
7	1047167
7	1050228
8	21491
8	31721
8	49142
8	54841
8	67407
8	89350
8	91546
8	126992
8	130542
8	161855
8	168386
8	186841
8	195614
8	206608
8	206615
8	216955
8	249138
8	263952
8	298254
8	336699
8	336765
8	349726
8	349882
8	349908
8	368799
8	371751
8	381498
8	413767
8	419461
8	424773
8	425191
8	431196
8	466879
8	471504
8	491692
8	492087
8	492936
8	493361
8	495794
8	496463
8	498389
8	518054
8	522519
8	523127
8	546422
8	555521
8	557893
9	9328
9	25514
9	28336
9	51613
9	62282
9	87466
9	99885
9	125357
9	129314
9	143880
9	147043
9	154954
9	173334
9	198172
9	207828
9	209563
9	212357
9	212623
9	226012
9	246019
9	248762
9	276686
9	299252
9	325433
9	345275
9	355830
9	364763
9	365448
9	374730
9	384675
9	394652
9	395952
9	397613
9	406045
9	406537
9	413290
9	417324
10	44445
10	54131
10	54278
10	65832
10	74828
10	76980
10	86986
10	106336
10	145933
10	146010
10	166120
10	171103
10	183782
10	209279
10	218168
10	220023
10	220266
10	220341
10	235745
10	237108
10	254303
10	256020
10	269668
10	288130
10	293376
10	296032
10	331072
10	331107
10	344665
10	348535
10	373804
10	379222
10	381514
10	392408
10	395901
10	405687
10	408955
10	426920
10	445942
10	462019
10	467419
10	468139
10	479290
10	482409
10	488833
10	507716
10	512499
10	518597
10	529734
10	539962
10	566406
10	593099
10	594734
10	596215
10	629934
10	638031
10	647374
10	648732
10	650099
10	654120
10	661036
10	663881
10	669824
10	701859
10	715575
10	735851
10	738058
10	739611
11	17291
11	25057
11	53349
11	54320
11	65588
11	107787
11	108756
11	148821
11	150473
11	151994
11	153176
11	168874
11	209175
11	218861
11	225354
11	273655
11	276745
11	279646
11	301569
11	303182
11	306745
11	320943
11	332316
11	334392
11	402331
11	404861
11	407324
11	419223
11	424898
11	428146
11	430710
11	459766
11	461097
11	495554
11	496526
11	496854
11	503587
11	521021
11	526589
11	551113
11	557490
11	582700
11	624554
11	662784
12	4179
12	15980
12	29035
12	32095
12	32129
12	52725
12	56749
12	58391
12	63729
12	64108
12	65459
12	75136
12	84702
12	85239
12	99447
12	130683
12	134453
12	143092
12	153660
12	157611
12	177029
12	186099
12	192497
12	202860
12	225546
12	245718
12	253086
12	254757
12	258435
12	270152
12	297773
12	316038
12	322629
12	326162
12	345039
12	378443
12	379319
12	384962
12	414245
12	416423
12	425926
12	454872
12	470585
12	482122
12	485960
12	487418
12	493271
12	516080
12	536353
12	565305
12	574074
12	583618
12	603151
12	627241
12	638950
12	659928
12	686758
12	691742
12	694334
12	729635
12	767116
12	793474
12	799001
12	806347
12	810655
12	814816
12	815852
12	839613
12	880323
12	912432
12	934233
12	937179
12	961043
12	962729
12	973557
12	980484
12	987856
12	989441
12	1015892
12	1015905
12	1021005
12	1021777
12	1027569
12	1039376
12	1061734
12	1064154
12	1068355
13	8700
13	13951
13	15431
13	46339
13	66489
13	78659
13	80095
13	96961
13	115054
13	134642
13	154746
13	162603
13	179623
13	182666
13	192806
13	192813
13	202332
13	209426
13	216915
13	221247
13	226642
13	227201
13	229439
13	262428
13	273459
13	277609
13	279983
13	306694
13	308683
13	309181
13	310851
13	314338
13	320776
13	329981
13	330254
13	331071
13	331679
13	331861
13	335750
13	338528
13	341964
13	351364
13	363104
13	363382
13	375713
13	381167
13	403576
13	407576
13	441465
13	449951
13	476489
13	476879
13	478277
13	483085
13	504766
13	505942
13	508985
13	511269
13	518229
13	523243
13	531446
13	555219
13	560874
13	562515
13	599773
13	611591
13	618686
13	644328
13	645708
13	656407
13	659133
13	686076
13	689740
13	692916
13	695797
13	697250
13	699475
13	708704
13	710312
13	722237
13	731986
13	738912
13	748893
13	768395
13	792575
13	793737
13	811764
13	819514
13	838890
13	848778
13	856834
13	859632
13	860258
13	873696
13	899648
13	910111
14	20528
14	30214
14	54236
14	65792
14	77369
14	97438
14	103035
14	134382
14	155895
14	164574
14	173978
14	175461
14	209180
14	229499
14	230694
14	232130
14	264132
14	272955
14	275376
14	285029
14	305818
14	307095
14	315733
14	330725
14	334171
14	340396
14	352413
14	408757
14	410196
14	420380
14	434458
14	454221
14	487974
14	496387
14	506171
14	522771
14	531721
14	531722
14	561926
14	565767
14	565908
14	570488
14	572117
14	580003
14	587808
14	603659
14	611863
14	613273
14	624083
14	638301
14	641094
14	659083
14	666349
14	722712
14	732675
14	737989
14	744270
14	769622
14	771717
14	771839
14	775479
15	4363
15	60908
15	61323
15	82624
15	95657
15	118273
15	131311
15	131381
15	147810
15	152844
15	169112
15	171890
15	194287
15	195688
15	206614
15	208750
15	219804
15	219806
15	242445
15	245793
15	248135
15	251731
15	263197
15	270115
15	293153
15	294776
15	297941
15	328659
15	340337
15	359926
15	362432
15	373671
15	377397
15	385148
15	385886
15	394469
15	413042
15	417127
15	418517
15	437000
15	440130
15	456656
15	464212
15	466419
15	479256
15	484402
15	488519
15	490202
15	517558
15	524806
15	527435
15	532514
15	572647
15	574737
15	584364
15	608169
15	618472
15	619660
15	621883
15	629508
15	643370
15	657515
15	657877
15	657887
15	665719
15	666540
15	698298
15	748757
15	767230
15	778771
15	778931
15	781376
15	795997
15	801008
15	808696
15	832940
15	837755
15	845688
15	850856
15	854476
15	862885
15	885945
15	887864
15	909930
15	910077
15	918356
15	922356
15	925655
15	944876
15	958579
15	963760
15	964047
15	978621
15	986451
15	1009641
15	1013156
15	1021980
15	1022243
15	1028777
15	1040787
15	1041678
15	1073697
15	1078068
16	72245
16	95503
16	97205
16	101606
16	104051
16	121361
16	129776
16	134251
16	156110
16	188755
16	188831
16	197211
16	198248
16	202944
16	206847
16	239549
16	241749
16	261152
16	262732
16	268988
16	277152
16	309481
16	320781
16	334710
16	353613
16	356292
16	358857
16	383538
16	398895
16	406935
16	415362
16	417449
16	430339
16	435107
16	440663
16	441279
16	476604
16	490839
16	502382
16	522779
16	525219
16	529443
16	565532
16	597527
16	604662
16	625217
16	639909
16	642177
16	671422
16	672985
16	674522
16	679935
16	683086
16	690165
16	700987
16	702723
16	707764
16	709656
16	710233
16	710310
16	732455
16	766985
16	767376
16	844723
16	853696
16	861013
16	868182
16	873061
16	874774
16	879955
16	880391
16	880829
16	908359
16	922901
16	925921
16	939109
17	16401
17	35314
17	38484
17	58908
17	70979
17	72270
